id,species,genus,family,order,class,phylum,accession
MIDORI2_HQ167129.1.<1.>866,Smaug vandami,Smaug,Cordylidae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ167129.1.<1.>866
MIDORI2_HQ167128.1.<1.>865,Smaug vandami,Smaug,Cordylidae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ167128.1.<1.>865
MIDORI2_HQ167133.1.<1.>713,Smaug warreni,Smaug,Cordylidae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ167133.1.<1.>713
MIDORI2_HQ167136.1.<1.>848,Platysaurus broadleyi,Platysaurus,Cordylidae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ167136.1.<1.>848
MIDORI2_HQ167137.1.<1.>859,Platysaurus capensis,Platysaurus,Cordylidae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ167137.1.<1.>859
MIDORI2_HQ167141.1.<1.>717,Platysaurus intermedius,Platysaurus,Cordylidae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ167141.1.<1.>717
MIDORI2_HQ167139.1.<1.>871,Platysaurus minor,Platysaurus,Cordylidae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ167139.1.<1.>871
MIDORI2_HQ167140.1.<1.>875,Platysaurus mitchelli,Platysaurus,Cordylidae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ167140.1.<1.>875
MIDORI2_HQ167056.1.<1.>908,Cordylosaurus subtessellatus,Cordylosaurus,Gerrhosauridae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ167056.1.<1.>908
MIDORI2_HQ167057.1.<1.>679,Cordylosaurus subtessellatus,Cordylosaurus,Gerrhosauridae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ167057.1.<1.>679
MIDORI2_AY218001.1.<1.>906,Cordylosaurus subtessellatus,Cordylosaurus,Gerrhosauridae,Squamata,Lepidosauria,Chordata,MIDORI2_AY218001.1.<1.>906
MIDORI2_AY217999.1.<1.>913,Gerrhosaurus nigrolineatus,Gerrhosaurus,Gerrhosauridae,Squamata,Lepidosauria,Chordata,MIDORI2_AY217999.1.<1.>913
MIDORI2_HQ167134.1.<1.>917,Gerrhosaurus nigrolineatus,Gerrhosaurus,Gerrhosauridae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ167134.1.<1.>917
MIDORI2_HQ167135.1.<1.>904,Matobosaurus validus,Matobosaurus,Gerrhosauridae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ167135.1.<1.>904
MIDORI2_OQ644632.1.15282.14327,Coleonyx mitratus,Coleonyx,Eublepharidae,Squamata,Lepidosauria,Chordata,MIDORI2_OQ644632.1.15282.14327
MIDORI2_AF090186.1.<1.>642,Eublepharis macularius,Eublepharis,Eublepharidae,Squamata,Lepidosauria,Chordata,MIDORI2_AF090186.1.<1.>642
MIDORI2_OR555719.1.69.1004,Goniurosaurus bawanglingensis,Goniurosaurus,Eublepharidae,Squamata,Lepidosauria,Chordata,MIDORI2_OR555719.1.69.1004
MIDORI2_AB827797.1.<1.>211,Goniurosaurus kuroiwae,Goniurosaurus,Eublepharidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB827797.1.<1.>211
MIDORI2_LC104759.1.<1.>161,Goniurosaurus kuroiwae,Goniurosaurus,Eublepharidae,Squamata,Lepidosauria,Chordata,MIDORI2_LC104759.1.<1.>161
MIDORI2_MH151204.1.69.1001,Goniurosaurus liboensis,Goniurosaurus,Eublepharidae,Squamata,Lepidosauria,Chordata,MIDORI2_MH151204.1.69.1001
MIDORI2_KM455054.1.70.1002,Goniurosaurus luii,Goniurosaurus,Eublepharidae,Squamata,Lepidosauria,Chordata,MIDORI2_KM455054.1.70.1002
MIDORI2_OQ992199.1.67.997,Goniurosaurus varius,Goniurosaurus,Eublepharidae,Squamata,Lepidosauria,Chordata,MIDORI2_OQ992199.1.67.997
MIDORI2_AB610502.1.68.1013,Hemitheconyx caudicinctus,Hemitheconyx,Eublepharidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB610502.1.68.1013
MIDORI2_AB610503.1.700.1646,Hemitheconyx taylori,Hemitheconyx,Eublepharidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB610503.1.700.1646
MIDORI2_AB738948.1.76.1014,Aeluroscalabotes felinus,Aeluroscalabotes,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB738948.1.76.1014
MIDORI2_DQ852695.1.1.957,Afroedura loveridgei,Afroedura,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852695.1.1.957
MIDORI2_DQ852696.1.1.953,Afrogecko porphyreus,Afrogecko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852696.1.1.953
MIDORI2_DQ852726.1.1.970,Agamura persica,Agamura,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852726.1.1.970
MIDORI2_EU596607.1.<1.>845,Blaesodactylus boivini,Blaesodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596607.1.<1.>845
MIDORI2_DQ852708.1.1.949,Chondrodactylus turneri,Chondrodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852708.1.1.949
MIDORI2_DQ852698.1.1.966,Christinus marmoratus,Christinus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852698.1.1.966
MIDORI2_HQ896026.1.72.1032,Cnemaspis limi,Cnemaspis,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ896026.1.72.1032
MIDORI2_DQ852716.1.1.950,Cnemaspis tropidogaster,Cnemaspis,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852716.1.1.950
MIDORI2_AB738947.1.517.1475,Crossobamon orientalis,Crossobamon,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB738947.1.517.1475
MIDORI2_HM921159.1.<1.>195,Crossobamon orientalis,Crossobamon,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM921159.1.<1.>195
MIDORI2_DQ852718.1.1.961,Cryptactites peringueyi,Cryptactites,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852718.1.1.961
MIDORI2_AP018116.1.75.1028,Cyrtodactylus auribalteatus,Cyrtodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AP018116.1.75.1028
MIDORI2_AP018117.1.73.1030,Cyrtodactylus chanhomeae,Cyrtodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AP018117.1.73.1030
MIDORI2_AB606970.1.74.1028,Cyrtodactylus louisiadensis,Cyrtodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB606970.1.74.1028
MIDORI2_AP018114.1.75.1020,Cyrtodactylus peguensis,Cyrtodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AP018114.1.75.1020
MIDORI2_DQ852717.1.1.955,Cyrtodactylus pulchellus,Cyrtodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852717.1.1.955
MIDORI2_AP018115.1.75.1023,Cyrtodactylus thirakhupti,Cyrtodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AP018115.1.75.1023
MIDORI2_AP018118.1.75.1029,Cyrtodactylus tigroides,Cyrtodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AP018118.1.75.1029
MIDORI2_DQ852719.1.1.947,Cyrtodactylus triedrus,Cyrtodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852719.1.1.947
MIDORI2_AB661665.1.72.1023,Cyrtopodion scabrum,Cyrtopodion,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB661665.1.72.1023
MIDORI2_HM040911.1.<1.>187,Cyrtopodion scabrum,Cyrtopodion,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM040911.1.<1.>187
MIDORI2_HM040923.1.<1.>191,Cyrtopodion scabrum,Cyrtopodion,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM040923.1.<1.>191
MIDORI2_EU596610.1.<1.>842,Geckolepis maculata,Geckolepis,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596610.1.<1.>842
MIDORI2_EU596611.1.<1.>648,Geckolepis maculata,Geckolepis,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596611.1.<1.>648
MIDORI2_AB661662.1.76.1021,Gehyra marginata,Gehyra,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB661662.1.76.1021
MIDORI2_DQ852699.1.1.937,Gehyra mutilata,Gehyra,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852699.1.1.937
MIDORI2_AF090185.1.<1.>668,Gehyra variegata,Gehyra,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AF090185.1.<1.>668
MIDORI2_PP003928.1.68.1032,Gekko chinensis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_PP003928.1.68.1032
MIDORI2_LC633618.1.<1.202,Gekko hokouensis x Gekko yakuensis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_LC633618.1.<1.202
MIDORI2_LC633620.1.<1.850,Gekko hokouensis x Gekko yakuensis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_LC633620.1.<1.850
MIDORI2_LC633613.1.<1.188,Gekko hokouensis x Gekko yakuensis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_LC633613.1.<1.188
MIDORI2_LC633655.1.<1.903,Gekko hokouensis x Gekko yakuensis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_LC633655.1.<1.903
MIDORI2_LC633626.1.<1.808,Gekko hokouensis x Gekko yakuensis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_LC633626.1.<1.808
MIDORI2_LC633638.1.<1.133,Gekko hokouensis x Gekko yakuensis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_LC633638.1.<1.133
MIDORI2_LC633673.1.<1.952,Gekko hokouensis x Gekko yakuensis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_LC633673.1.<1.952
MIDORI2_LC633680.1.<1.181,Gekko hokouensis x Gekko yakuensis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_LC633680.1.<1.181
MIDORI2_KT005801.1.77.1037,Gekko hokouensis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_KT005801.1.77.1037
MIDORI2_LC633588.1.<1.839,Gekko hokouensis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_LC633588.1.<1.839
MIDORI2_LC104760.1.<1.>171,Gekko japonicus,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_LC104760.1.<1.>171
MIDORI2_MK680534.1.75.1035,Gekko subpalmatus,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MK680534.1.75.1035
MIDORI2_JQ906550.1.72.1022,Gekko swinhonis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_JQ906550.1.72.1022
MIDORI2_HQ896028.1.1.946,Gekko swinhonis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ896028.1.1.946
MIDORI2_LC633598.1.<1.854,Gekko yakuensis,Gekko,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_LC633598.1.<1.854
MIDORI2_AY763261.1.<1.>1098,Goggia lineata,Goggia,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AY763261.1.<1.>1098
MIDORI2_DQ852701.1.1.946,Goggia lineata,Goggia,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852701.1.1.946
MIDORI2_KJ484231.1.<1.>889,Gymnodactylus geckoides,Gymnodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_KJ484231.1.<1.>889
MIDORI2_KJ484232.1.<1.>889,Gymnodactylus geckoides,Gymnodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_KJ484232.1.<1.>889
MIDORI2_OL689327.1.72.1050,Hemidactylus almakhwah,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_OL689327.1.72.1050
MIDORI2_EF202134.1.<1.>949,Hemidactylus angulatus,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF202134.1.<1.>949
MIDORI2_PQ462284.1.76.1031,Hemidactylus bowringii,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_PQ462284.1.76.1031
MIDORI2_HM040912.1.<1.>202,Hemidactylus brookii,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM040912.1.<1.>202
MIDORI2_HM180306.1.<1.>718,Hemidactylus brookii,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM180306.1.<1.>718
MIDORI2_HM180336.1.<1.>949,Hemidactylus coalescens,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM180336.1.<1.>949
MIDORI2_HM180302.1.<1.>836,Hemidactylus coalescens,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM180302.1.<1.>836
MIDORI2_HM180297.1.<1.>865,Hemidactylus eniangii,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM180297.1.<1.>865
MIDORI2_HM180295.1.<1.>868,Hemidactylus eniangii,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM180295.1.<1.>868
MIDORI2_HM180287.1.<1.>843,Hemidactylus eniangii,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM180287.1.<1.>843
MIDORI2_HM180288.1.<1.>845,Hemidactylus eniangii,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM180288.1.<1.>845
MIDORI2_OL689328.1.72.1039,Hemidactylus farasani,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_OL689328.1.72.1039
MIDORI2_HM180304.1.<1.>847,Hemidactylus fasciatus,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM180304.1.<1.>847
MIDORI2_HM180292.1.<1.>748,Hemidactylus fasciatus,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM180292.1.<1.>748
MIDORI2_HM180320.1.<1.>748,Hemidactylus fasciatus,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM180320.1.<1.>748
MIDORI2_HM040924.1.<1.>192,Hemidactylus flaviviridis,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM040924.1.<1.>192
MIDORI2_GQ245970.2.76.1033,Hemidactylus frenatus,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_GQ245970.2.76.1033
MIDORI2_DQ852702.1.1.959,Hemidactylus frenatus,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852702.1.1.959
MIDORI2_HM180329.1.<1.>832,Hemidactylus kyaboboensis,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM180329.1.<1.>832
MIDORI2_HM180323.1.<1.>697,Hemidactylus mabouia,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HM180323.1.<1.>697
MIDORI2_OR838827.1.<1.>129,Hemidactylus mabouia,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_OR838827.1.<1.>129
MIDORI2_OL689329.1.72.1043,Hemidactylus mandebensis,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_OL689329.1.72.1043
MIDORI2_PQ153225.1.75.1028,Hemidactylus platyurus,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_PQ153225.1.75.1028
MIDORI2_OL689330.1.75.1046,Hemidactylus ulii,Hemidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_OL689330.1.75.1046
MIDORI2_DQ852703.1.1.952,Hemiphyllodactylus yunnanensis,Hemiphyllodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852703.1.1.952
MIDORI2_EF626813.1.18234.19184,Heteronotia binoei,Heteronotia,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF626813.1.18234.19184
MIDORI2_EF626817.1.21243.22192,Heteronotia binoei,Heteronotia,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF626817.1.21243.22192
MIDORI2_EF626807.1.11760.12706,Heteronotia binoei,Heteronotia,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF626807.1.11760.12706
MIDORI2_EF626815.1.11938.12887,Heteronotia binoei,Heteronotia,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF626815.1.11938.12887
MIDORI2_EF626808.1.11781.12730,Heteronotia binoei,Heteronotia,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF626808.1.11781.12730
MIDORI2_DQ852705.1.1.943,Lygodactylus bradfieldi,Lygodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852705.1.1.943
MIDORI2_EU596612.1.<1.>830,Lygodactylus madagascariensis,Lygodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596612.1.<1.>830
MIDORI2_DQ852706.1.1.958,Nactus pelagicus,Nactus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852706.1.1.958
MIDORI2_DQ852707.1.1.957,Narudasia festiva,Narudasia,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852707.1.1.957
MIDORI2_AB612270.1.70.1023,Pachydactylus punctatus,Pachydactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB612270.1.70.1023
MIDORI2_AB612272.1.2382.3331,Paroedura masobe,Paroedura,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB612272.1.2382.3331
MIDORI2_EU596615.1.<1.>821,Paroedura oviceps,Paroedura,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596615.1.<1.>821
MIDORI2_EU596618.1.<1.>822,Phelsuma abbotti,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596618.1.<1.>822
MIDORI2_EF424452.1.<1.>833,Phelsuma dubia,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF424452.1.<1.>833
MIDORI2_EF424466.1.<1.>822,Phelsuma flavigularis,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF424466.1.<1.>822
MIDORI2_EF424455.1.<1.>794,Phelsuma grandis,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF424455.1.<1.>794
MIDORI2_AB661664.1.68.1015,Phelsuma guimbeaui,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB661664.1.68.1015
MIDORI2_EF424460.1.<1.>817,Phelsuma kochi,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF424460.1.<1.>817
MIDORI2_EF424458.1.<1.>817,Phelsuma kochi,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF424458.1.<1.>817
MIDORI2_EF424459.1.<1.>817,Phelsuma kochi,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF424459.1.<1.>817
MIDORI2_HQ896029.1.70.1023,Phelsuma laticauda,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_HQ896029.1.70.1023
MIDORI2_DQ852709.1.1.946,Phelsuma madagascariensis,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852709.1.1.946
MIDORI2_EF424464.1.<1.>824,Phelsuma madagascariensis,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF424464.1.<1.>824
MIDORI2_EF424463.1.<1.>824,Phelsuma madagascariensis,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF424463.1.<1.>824
MIDORI2_EF424462.1.<1.>823,Phelsuma madagascariensis,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF424462.1.<1.>823
MIDORI2_EF424465.1.<1.>819,Phelsuma modesta,Phelsuma,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EF424465.1.<1.>819
MIDORI2_AB612274.1.1085.2005,Ptenopus garrulus,Ptenopus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB612274.1.1085.2005
MIDORI2_DQ852722.1.1.956,Stenodactylus petrii,Stenodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852722.1.1.956
MIDORI2_KC190554.1.<1.>228,Stenodactylus sthenodactylus,Stenodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_KC190554.1.<1.>228
MIDORI2_KC190724.1.<1.>218,Stenodactylus yemenensis,Stenodactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_KC190724.1.<1.>218
MIDORI2_OR537229.1.76.1041,Tenuidactylus dadunensis,Tenuidactylus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_OR537229.1.76.1041
MIDORI2_DQ852727.1.1.965,Tropiocolotes steudneri,Tropiocolotes,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_DQ852727.1.1.965
MIDORI2_EU596620.1.<1.>846,Uroplatus alluaudi,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596620.1.<1.>846
MIDORI2_AB738950.1.69.1051,Uroplatus ebenaui,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB738950.1.69.1051
MIDORI2_EU596621.1.<1.>776,Uroplatus ebenaui,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596621.1.<1.>776
MIDORI2_EU596624.1.<1.>804,Uroplatus ebenaui,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596624.1.<1.>804
MIDORI2_EU596623.1.<1.>805,Uroplatus ebenaui,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596623.1.<1.>805
MIDORI2_AB612276.1.71.1022,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_AB612276.1.71.1022
MIDORI2_MG922962.1.<1.>249,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MG922962.1.<1.>249
MIDORI2_MG922952.1.<1.>249,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MG922952.1.<1.>249
MIDORI2_MG922948.1.<1.>249,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MG922948.1.<1.>249
MIDORI2_MG922961.1.<1.>250,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MG922961.1.<1.>250
MIDORI2_MG922957.1.<1.>250,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MG922957.1.<1.>250
MIDORI2_MG922955.1.<1.>249,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MG922955.1.<1.>249
MIDORI2_EU596645.1.<1.>880,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596645.1.<1.>880
MIDORI2_EU596649.1.<1.>734,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596649.1.<1.>734
MIDORI2_EU596646.1.<1.>822,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596646.1.<1.>822
MIDORI2_EU596643.1.<1.>828,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596643.1.<1.>828
MIDORI2_EU596642.1.<1.>829,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596642.1.<1.>829
MIDORI2_EU596644.1.<1.>905,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596644.1.<1.>905
MIDORI2_EU596648.1.<1.>830,Uroplatus fimbriatus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596648.1.<1.>830
MIDORI2_MK084770.1.<1.>242,Uroplatus finaritra,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MK084770.1.<1.>242
MIDORI2_MK084771.1.<1.>242,Uroplatus finaritra,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MK084771.1.<1.>242
MIDORI2_JX205286.1.<1.>210,Uroplatus finiavana,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_JX205286.1.<1.>210
MIDORI2_MF170082.1.<1.>194,Uroplatus fotsivava,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MF170082.1.<1.>194
MIDORI2_MF170088.1.<1.>197,Uroplatus fotsivava,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MF170088.1.<1.>197
MIDORI2_MF170089.1.<1.>178,Uroplatus fotsivava,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MF170089.1.<1.>178
MIDORI2_MG922971.1.<1.>248,Uroplatus giganteus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MG922971.1.<1.>248
MIDORI2_MG922967.1.<1.>248,Uroplatus giganteus,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MG922967.1.<1.>248
MIDORI2_EU596688.1.<1.>828,Uroplatus guentheri,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596688.1.<1.>828
MIDORI2_EU596689.1.<1.>896,Uroplatus guentheri,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596689.1.<1.>896
MIDORI2_EU596650.1.<1.>819,Uroplatus henkeli,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596650.1.<1.>819
MIDORI2_EU596651.1.<1.>823,Uroplatus henkeli,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596651.1.<1.>823
MIDORI2_EU596653.1.<1.>823,Uroplatus henkeli,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596653.1.<1.>823
MIDORI2_EU596652.1.<1.>818,Uroplatus henkeli,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_EU596652.1.<1.>818
MIDORI2_MF170095.1.<1.>236,Uroplatus kelirambo,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MF170095.1.<1.>236
MIDORI2_MF170094.1.<1.>249,Uroplatus kelirambo,Uroplatus,Gekkonidae,Squamata,Lepidosauria,Chordata,MIDORI2_MF170094.1.<1.>249
