id,species,genus,family,order,class,phylum,accession
MitoFish_mf_024184,Dysalotus sp. CBM:ZF:14697,Dysalotus,Chiasmodontidae,Scombriformes,Actinopteri,Chordata,MitoFish_mf_024184
MitoFish_mf_024185,Dysalotus sp. CBM:ZF:14687,Dysalotus,Chiasmodontidae,Scombriformes,Actinopteri,Chordata,MitoFish_mf_024185
MitoFish_mf_024187,Champsodon sp. CBM:ZF:15524,Champsodon,Champsodontidae,Pempheriformes,Actinopteri,Chordata,MitoFish_mf_024187
MitoFish_mf_024188,Parapercis decemfasciata,Parapercis,Pinguipedidae,Uranoscopiformes,Actinopteri,Chordata,MitoFish_mf_024188
MitoFish_mf_024189,Parapercis pulchella,Parapercis,Pinguipedidae,Uranoscopiformes,Actinopteri,Chordata,MitoFish_mf_024189
MitoFish_mf_024192,Pholidichthys leucotaenia,Pholidichthys,Pholidichthyidae,Cichliformes,Actinopteri,Chordata,MitoFish_mf_024192
MitoFish_mf_024193,Enneapterygius miyakensis,Enneapterygius,Tripterygiidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024193
MitoFish_mf_024194,Helcogramma maldivensis,Helcogramma,Tripterygiidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024194
MitoFish_mf_024195,Helcogramma striata,Helcogramma,Tripterygiidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024195
MitoFish_mf_024196,Alticus saliens,Alticus,Blenniidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024196
MitoFish_mf_024197,Ecsenius yaeyamaensis,Ecsenius,Blenniidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024197
MitoFish_mf_024198,Ecsenius namiyei,Ecsenius,Blenniidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024198
MitoFish_mf_024199,Meiacanthus ditrema,Meiacanthus,Blenniidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024199
MitoFish_mf_024203,Conidens laticephalus,Conidens,Gobiesocidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024203
MitoFish_mf_024204,Lepadichthys lineatus,Lepadichthys,Gobiesocidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024204
MitoFish_mf_024205,Diademichthys lineatus,Diademichthys,Gobiesocidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024205
MitoFish_mf_024206,Pherallodus indicus,Pherallodus,Gobiesocidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024206
MitoFish_mf_024207,Conidens laticephalus,Conidens,Gobiesocidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024207
MitoFish_mf_024208,Trypauchenopsis cf. intermedia CBM:ZF:12734,Trypauchenopsis,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024208
MitoFish_mf_024212,Gymnogobius isaza,Gymnogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024212
MitoFish_mf_024214,Ctenogobiops tangaroai,Ctenogobiops,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024214
MitoFish_mf_024215,Chriolepis zebra,Chriolepis,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024215
MitoFish_mf_024216,Trimmatom sp. CBM:ZF:12824-2,Trimmatom,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024216
MitoFish_mf_024217,Stonogobiops nematodes,Stonogobiops,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024217
MitoFish_mf_024218,Amblyeleotris wheeleri,Amblyeleotris,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024218
MitoFish_mf_024219,Trimma sp. CBM:ZF:11473,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024219
MitoFish_mf_024220,Acentrogobius virgatulus,Acentrogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024220
MitoFish_mf_024221,Amblygobius decussatus,Amblygobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024221
MitoFish_mf_024222,Gobiodon histrio,Gobiodon,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024222
MitoFish_mf_024223,Koumansetta hectori,Koumansetta,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024223
MitoFish_mf_024225,Nemateleotris magnifica,Nemateleotris,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024225
MitoFish_mf_024226,Ptereleotris microlepis,Ptereleotris,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024226
MitoFish_mf_024228,Bregmaceros sp. CBM DNA No. 2015-157,Bregmaceros,Bregmacerotidae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_024228
MitoFish_mf_024229,Bregmaceros sp. CBM DNA No. 2000-063,Bregmaceros,Bregmacerotidae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_024229
MitoFish_mf_024230,Bregmaceros sp. CBM DNA No. 2000-006,Bregmaceros,Bregmacerotidae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_024230
MitoFish_mf_024231,Bregmaceros sp. CBM:ZF:14292,Bregmaceros,Bregmacerotidae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_024231
MitoFish_mf_024233,Amblyeleotris guttata,Amblyeleotris,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024233
MitoFish_mf_024613,Dissostichus mawsoni,Dissostichus,Nototheniidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024613
MitoFish_mf_024614,Apristurus cf. macrorhynchus HUMZ:219246,Apristurus,Scyliorhinidae,Carcharhiniformes,Chondrichthyes,Chordata,MitoFish_mf_024614
MitoFish_mf_024616,Pisodonophis sp. CBM:ZF:16066,Pisodonophis,Ophichthidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_024616
MitoFish_mf_024617,Tanakia latimarginata,Tanakia,Acheilognathidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_024617
MitoFish_mf_024618,Sarcocheilichthys hainanensis,Sarcocheilichthys,Gobionidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_024618
MitoFish_mf_024619,Prionobrama filigera,Prionobrama,Characidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_024619
MitoFish_mf_024620,Aphyocharax rathbuni,Aphyocharax,Characidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_024620
MitoFish_mf_024621,Thayeria boehlkei,Thayeria,Characidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_024621
MitoFish_mf_024622,Hyphessobrycon pulchripinnis,Hyphessobrycon,Characidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_024622
MitoFish_mf_024623,Hyphessobrycon anisitsi,Hyphessobrycon,Characidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_024623
MitoFish_mf_024624,Rachoviscus crassiceps,Rachoviscus,Characidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_024624
MitoFish_mf_024625,Hemigrammus hyanuary,Hemigrammus,Characidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_024625
MitoFish_mf_024626,Metynnis sp. CBM:ZF:12928,Metynnis,Serrasalmidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_024626
MitoFish_mf_024627,Psednos groenlandicus,Psednos,Liparidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024627
MitoFish_mf_024628,Gymnochanda filamentosa,Gymnochanda,Ambassidae,NA,Actinopteri,Chordata,MitoFish_mf_024628
MitoFish_mf_024631,Lethrinus cf. lentjan UPVMI-1086,Lethrinus,Lethrinidae,Spariformes,Actinopteri,Chordata,MitoFish_mf_024631
MitoFish_mf_024632,Malacoctenus triangulatus,Malacoctenus,Labrisomidae,Blenniiformes,Actinopteri,Chordata,MitoFish_mf_024632
MitoFish_mf_024640,Oxyeleotris selheimi,Oxyeleotris,Eleotridae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024640
MitoFish_mf_024642,Bostrychus zonatus,Bostrychus,Eleotridae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024642
MitoFish_mf_024643,Prionobutis microps,Prionobutis,Eleotridae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024643
MitoFish_mf_024644,Butis sp. CBM DNA No. 2009-111,Butis,Eleotridae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024644
MitoFish_mf_024647,Dormitator maculatus,Dormitator,Eleotridae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024647
MitoFish_mf_024648,Sicyopterus sp. CBM:ZF:10883,Sicyopterus,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024648
